"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"195";"Gilesse2014";"114";"0";"3050";"7800";"45";"29";"40";"92";"13";"9";"0";"0";"0";"0";"0";"0"
"196";"diazou30150";"114";"100";"2900";"8050";"46";"24";"44";"84";"22";"7";"0";"1";"0";"0";"0";"0"
"197";"Rest trankil";"114";"275";"2875";"7750";"46";"29";"39";"86";"18";"9";"1";"0";"0";"0";"0";"0"
"198";"TOELMADE";"114";"-425";"3125";"8150";"40";"33";"41";"86";"20";"8";"0";"0";"0";"0";"0";"0"
"199";"Kal-H NiikoV";"112";"-425";"4625";"12100";"42";"41";"29";"90";"14";"6";"2";"0";"0";"0";"0";"0"
"200";"Pyroman_74";"112";"-750";"3050";"8350";"34";"28";"50";"84";"19";"6";"3";"0";"0";"0";"0";"0"
"201";"NOACH95";"112";"-300";"3450";"9250";"39";"36";"37";"88";"15";"8";"1";"0";"0";"0";"0";"0"
"202";"Wata 1er";"111";"-75";"2775";"7600";"36";"36";"39";"76";"29";"6";"0";"0";"0";"0";"0";"0"
"203";"squalftsla";"111";"650";"2800";"6900";"60";"31";"20";"90";"16";"5";"0";"0";"0";"0";"0";"0"
"204";"4Gambler4";"110";"250";"5450";"14350";"46";"37";"27";"85";"17";"7";"1";"0";"0";"0";"0";"0"
"205";"babsetvero";"110";"-450";"3050";"7600";"37";"41";"32";"86";"19";"5";"0";"0";"0";"0";"0";"0"
"206";"CicK-BacK";"110";"25";"3275";"8300";"45";"34";"31";"90";"14";"6";"0";"0";"0";"0";"0";"0"
"207";"DansTonASS-";"109";"-175";"3375";"9450";"38";"33";"38";"73";"26";"10";"0";"0";"0";"0";"0";"0"
"208";"virgie79";"109";"-650";"3700";"9750";"37";"36";"36";"86";"15";"7";"1";"0";"0";"0";"0";"0"
"209";"Nioum69";"109";"-25";"2775";"7100";"40";"39";"30";"86";"16";"7";"0";"0";"0";"0";"0";"0"
"210";"Kusse-Kurt";"109";"200";"3850";"11450";"41";"38";"30";"76";"19";"12";"2";"0";"0";"0";"0";"0"
"211";"Tomme tueur";"109";"-150";"5300";"13800";"38";"34";"37";"84";"20";"4";"1";"0";"0";"0";"0";"0"
"212";"BIZZna";"109";"-25";"2725";"7500";"36";"34";"39";"78";"21";"10";"0";"0";"0";"0";"0";"0"
"213";"FRANINI.13";"108";"-525";"2975";"8050";"36";"30";"42";"80";"20";"7";"1";"0";"0";"0";"0";"0"
"214";"isacyrjuju";"108";"-900";"2800";"7550";"31";"36";"41";"78";"21";"9";"0";"0";"0";"0";"0";"0"
"215";"jtetank";"108";"-775";"5025";"13000";"32";"40";"36";"84";"17";"6";"1";"0";"0";"0";"0";"0"
"216";"Petonbet";"107";"650";"5350";"14600";"43";"36";"28";"77";"21";"9";"0";"0";"0";"0";"0";"0"
